player,season,season_name,salary,agency,agent,salary_amnesty,league,team,player_off_roster_13_14,id_contract_type
Phil Pressey,2017,2016-2017,1215696,Creative Artists Agency,Aaron Mintz,FALSE,nba,Celtics,FALSE,QO
Rajon Rondo,2014,2013-2014,11954545,BDA Sports Management,Bill Duffy,FALSE,nba,Celtics,FALSE,G
Rajon Rondo,2015,2014-2015,12909091,BDA Sports Management,Bill Duffy,FALSE,nba,Celtics,FALSE,G
Victor Faverani,2014,2013-2014,2000000,Interperformances,Herb Rudoy,FALSE,nba,Celtics,FALSE,G
Victor Faverani,2015,2014-2015,2090000,Interperformances,Herb Rudoy,FALSE,nba,Celtics,FALSE,G
Victor Faverani,2016,2015-2016,2180000,Interperformances,Herb Rudoy,FALSE,nba,Celtics,FALSE,U
Victor Faverani,2017,2016-2017,2725000,Interperformances,Herb Rudoy,FALSE,nba,Celtics,FALSE,QO
Antawn Jamison,2014,2013-2014,884293,Wasserman Media Group,Arn Tellem,FALSE,nba,Clippers,FALSE,G
Blake Griffin,2014,2013-2014,16441500,Excel Sports Management,Jeff Schwartz,FALSE,nba,Clippers,FALSE,G
Blake Griffin,2015,2014-2015,17674613,Excel Sports Management,Jeff Schwartz,FALSE,nba,Clippers,FALSE,G
Blake Griffin,2016,2015-2016,18907725,Excel Sports Management,Jeff Schwartz,FALSE,nba,Clippers,FALSE,G
Blake Griffin,2017,2016-2017,20140838,Excel Sports Management,Jeff Schwartz,FALSE,nba,Clippers,FALSE,G
Blake Griffin,2018,2017-2018,21373950,Excel Sports Management,Jeff Schwartz,FALSE,nba,Clippers,FALSE,ETO
Brandon Davies,2014,2013-2014,490180,BDA Sports Management,Bill Duffy,FALSE,nba,Clippers,FALSE,U
Brandon Davies,2015,2014-2015,816482,BDA Sports Management,Bill Duffy,FALSE,nba,Clippers,FALSE,U
Brandon Davies,2016,2015-2016,1147276,BDA Sports Management,Bill Duffy,FALSE,nba,Clippers,FALSE,QO
Byron Mullens,2014,2013-2014,947907,Wasserman Media Group,Arn Tellem,FALSE,nba,Clippers,FALSE,G
Byron Mullens,2015,2014-2015,1063384,Wasserman Media Group,Arn Tellem,FALSE,nba,Clippers,FALSE,PO
Chris Paul,2014,2013-2014,18668431,Creative Artists Agency,Leon Rose,FALSE,nba,Clippers,FALSE,G
Chris Paul,2015,2014-2015,20068563,Creative Artists Agency,Leon Rose,FALSE,nba,Clippers,FALSE,G
Chris Paul,2016,2015-2016,21468695,Creative Artists Agency,Leon Rose,FALSE,nba,Clippers,FALSE,G
Chris Paul,2017,2016-2017,22868827,Creative Artists Agency,Leon Rose,FALSE,nba,Clippers,FALSE,G
Chris Paul,2018,2017-2018,24268959,Creative Artists Agency,Leon Rose,FALSE,nba,Clippers,FALSE,ETO
Darren Collison,2014,2013-2014,1900000,BDA Sports Management,Rade Filipovich,FALSE,nba,Clippers,FALSE,G
Darren Collison,2015,2014-2015,1985500,BDA Sports Management,Rade Filipovich,FALSE,nba,Clippers,FALSE,PO
DeAndre Jordan,2014,2013-2014,10986550,Wasserman Media Group,Arn Tellem,FALSE,nba,Clippers,FALSE,G
DeAndre Jordan,2015,2014-2015,11440123,Wasserman Media Group,Arn Tellem,FALSE,nba,Clippers,FALSE,G
J.J. Redick,2014,2013-2014,6500000,Wasserman Media Group,Arn Tellem,FALSE,nba,Clippers,FALSE,G
